"","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Home_xG","Away_xG","HY","AY","CS"
"162","MEX",2023-11-04,"UANL","Atlético",2,2,"D",1.9,0.8,"Luis Enrique Santander","2023-11-04-UANL-Atlético","2-2"
"163","MEX",2023-11-04,"América","Tijuana",3,0,"H",3.4,0.2,"Oscar Mejia","2023-11-04-América-Tijuana","3-0"
"164","MEX",2023-11-04,"Pachuca","Monterrey",0,2,"A",1.3,0.5,"Daniel Quintero","2023-11-04-Pachuca-Monterrey","0-2"
"165","MEX",2023-11-04,"Guadalajara","Cruz Azul",1,0,"H",1.4,0.9,"Adonai Escobedo","2023-11-04-Guadalajara-Cruz Azul","1-0"
"166","MEX",2023-11-05,"UNAM","Atlas",3,0,"H",3.9,0.3,"Fernando Guerrero","2023-11-05-UNAM-Atlas","3-0"
"167","MEX",2023-11-05,"Necaxa","Mazatlán",4,0,"H",1.8,0.9,"César Arturo Ramos","2023-11-05-Necaxa-Mazatlán","4-0"
"168","MEX",2023-11-05,"Santos","Toluca",3,1,"H",2.3,1.7,"Víctor Cáceres","2023-11-05-Santos-Toluca","3-1"
"169","MEX",2023-11-05,"FC Juárez","Querétaro",0,3,"A",0.9,2.2,"Marco Antonio Ortíz","2023-11-05-FC Juárez-Querétaro","0-3"
"170","MEX",2024-04-19,"Mazatlán","FC Juárez",0,2,"A",1.6,1.8,"Fernando Hernández","2024-04-19-Mazatlán-FC Juárez","0-2"
"171","MEX",2024-04-19,"Tijuana","Puebla",3,1,"H",2.1,0.8,"Adonai Escobedo","2024-04-19-Tijuana-Puebla","3-1"
"172","MEX",2024-04-19,"Atlético","Toluca",1,5,"A",0.9,2.6,"Daniel Quintero","2024-04-19-Atlético-Toluca","1-5"
"173","MEX",2024-04-20,"León","Monterrey",2,0,"H",1.8,0.8,"Víctor Cáceres","2024-04-20-León-Monterrey","2-0"
"174","MEX",2024-04-20,"UANL","Necaxa",5,2,"H",1.5,0.2,"Marco Antonio Ortíz","2024-04-20-UANL-Necaxa","5-2"
"175","MEX",2024-04-20,"Santos","Pachuca",0,2,"A",0.5,1.7,"Ismael Lopez","2024-04-20-Santos-Pachuca","0-2"
"176","MEX",2024-04-20,"Guadalajara","Querétaro",2,0,"H",0.8,0.8,"Oscar Mejia","2024-04-20-Guadalajara-Querétaro","2-0"
"177","MEX",2024-04-20,"UNAM","América",2,1,"H",0.6,1.4,"Fernando Guerrero","2024-04-20-UNAM-América","2-1"
"178","MEX",2024-04-21,"Cruz Azul","Atlas",2,2,"D",3.1,2.6,"Luis Enrique Santander","2024-04-21-Cruz Azul-Atlas","2-2"
"179","MEX",2023-11-10,"Mazatlán","Toluca",1,0,"H",0.9,0.5,"Adonai Escobedo","2023-11-10-Mazatlán-Toluca","1-0"
"180","MEX",2023-11-10,"Atlas","Necaxa",0,0,"D",0.5,0.5,"Guillermo Pacheco","2023-11-10-Atlas-Necaxa","0-0"
"181","MEX",2023-11-10,"Tijuana","Pachuca",2,3,"A",3,1.1,"Fernando Hernández","2023-11-10-Tijuana-Pachuca","2-3"
"182","MEX",2023-11-11,"Atlético","Santos",0,2,"A",1.3,1,"Marco Antonio Ortíz","2023-11-11-Atlético-Santos","0-2"
"183","MEX",2023-11-11,"Querétaro","Monterrey",0,0,"D",1.6,0.8,"Víctor Cáceres","2023-11-11-Querétaro-Monterrey","0-0"
"184","MEX",2023-11-11,"UNAM","Guadalajara",1,0,"H",1.1,1,"Oscar Mejia","2023-11-11-UNAM-Guadalajara","1-0"
